day,state_Y,state_N,state_A,state_C,state_B,control_uC,control_uA,control_uF,control_control_mode,control_arm_name,param_NA_eff,param_lambda_eff,param_k1,param_delta_Y_min
0,0.8181067470654355,0.5636213494130872,0.19,0.27999999999999997,0.15799999999999997,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
1,0.8695610694980859,0.624809293430087,0.271,0.25999999999999995,0.12859999999999996,0.0,0.1,0.0,fluctuation,identity,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
2,0.9040364541875541,0.6806547255815804,0.34390000000000004,0.23999999999999996,0.10801999999999998,0.0,0.1,0.0,fluctuation,injunctive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
3,0.9297665654672896,0.7304770935587223,0.40951000000000004,0.21999999999999997,0.09361399999999998,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
4,0.9429519031203045,0.7729720554710386,0.46855900000000006,0.19999999999999998,0.08352979999999999,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
5,0.9531970529980693,0.8090170549764448,0.5217031000000001,0.18,0.07647085999999999,0.0,0.1,0.0,fluctuation,injunctive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
6,0.9620987305366145,0.8396333900884788,0.5695327900000001,0.16,0.07152960199999998,0.0,0.1,0.0,fluctuation,identity,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
7,0.9663977672352957,0.8649862655178423,0.6125795110000001,0.14,0.06807072139999998,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
8,0.9716437315030073,0.8863177587148754,0.6513215599000001,0.12000000000000001,0.07882423199479999,0.0,0.1,0.10978939179,fluctuation,injunctive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
9,0.9739545569602684,0.9038451183639541,0.68618940391,0.1,0.07317696239635998,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
10,0.9754644165137537,0.9181689779939141,0.717570463519,0.08,0.06922387367745199,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
11,0.97761255534969,0.9300576934650693,0.7458134171671,0.06,0.06645671157421638,0.0,0.1,0.0,fluctuation,injunctive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
12,0.9785162450952527,0.939749403791106,0.7712320754503901,0.039999999999999994,0.06451969810195146,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
13,0.9794719261372812,0.9476939082603412,0.7941088679053511,0.019999999999999993,0.0764024341055309,0.0,0.1,0.11032204528470728,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
14,0.9799599709884957,0.9541471208059722,0.814697981114816,-6.938893903907228e-18,0.07148170387387162,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
15,0.9790236739892354,0.9591224314426249,0.8332281830033343,-0.020000000000000007,0.06803719271171013,0.0,0.1,0.0,fluctuation,descriptive,0.7479540220015756,0.4642857142857143,0.39736471351492064,0.2466605625737574
